[ 43 6 23 14 37 15 39 31 35 3 7 22 42 44 5 15 45 46 10 50 35 23 26 35 31 6 42 0 40 49 10 28 37 8 40 30 50 33 24 32 ]
[ 44 44 13 15 4 24 48 3 29 5 50 49 25 14 27 8 41 43 7 21 39 8 14 18 36 32 29 40 0 46 36 4 40 17 45 46 27 41 4 35 ]
[ 10 27 5 45 15 16 10 28 47 1 29 35 28 26 47 39 31 32 11 36 31 41 7 50 13 50 49 49 46 0 20 11 10 13 26 5 12 12 31 30 ]
[ 26 36 36 14 16 40 12 43 16 27 31 1 30 11 38 24 31 28 5 14 34 29 24 34 41 5 7 10 36 20 0 2 38 6 12 43 43 14 23 13 ]
[ 43 13 40 21 11 10 21 32 43 29 40 10 48 32 34 33 24 46 17 5 35 48 41 26 37 28 29 28 4 11 2 0 47 24 8 2 38 14 18 20 ]
[ 33 17 43 37 28 29 7 30 1 3 41 30 16 11 22 22 50 43 15 46 35 18 2 40 29 6 15 37 40 10 38 47 0 36 22 27 7 26 5 4 ]
[ 25 27 23 28 39 15 48 29 49 22 10 1 44 27 35 26 13 20 18 38 34 40 49 42 32 9 2 8 17 13 6 24 36 0 30 4 3 5 20 31 ]
[ 19 17 39 47 37 16 13 25 12 4 13 10 21 1 28 44 10 35 17 42 45 48 15 47 28 45 47 40 45 26 12 8 22 30 0 34 50 38 24 18 ]
[ 20 4 40 26 6 46 40 43 3 30 5 28 19 39 31 16 34 12 39 35 23 22 11 47 44 19 4 30 46 5 43 2 27 4 34 0 8 16 34 49 ]
[ 25 36 19 18 26 19 10 36 46 38 21 29 32 14 21 31 5 13 31 50 23 36 30 43 1 41 17 50 27 12 43 38 7 3 50 8 0 23 48 2 ]
[ 13 19 38 46 19 7 45 5 11 22 49 26 19 33 40 13 9 19 2 24 23 40 41 41 6 32 26 33 41 12 14 14 26 5 38 16 23 0 36 14 ]
[ 21 13 14 12 50 12 4 45 48 48 16 33 6 20 24 48 2 50 20 26 16 13 26 9 49 30 3 24 4 31 23 18 5 20 24 34 48 36 0 16 ]
[ 16 26 2 17 25 10 45 41 22 28 31 10 18 6 22 34 6 14 47 20 6 35 21 8 1 18 31 32 35 30 13 20 4 31 18 49 2 14 16 0 ]
 ];

