[ 26 30 44 35 22 34 23 42 6 43 31 12 19 20 42 13 29 5 0 10 22 32 44 29 16 11 22 12 32 24 12 23 1 30 45 29 49 11 20 11 20 21 3 4 32 49 8 39 19 19 ]
[ 36 48 46 15 26 21 47 16 29 31 43 3 40 10 11 12 4 2 10 0 49 15 47 35 33 49 24 1 21 15 29 42 43 13 15 9 34 35 14 22 31 44 41 49 15 50 30 3 20 6 ]
[ 41 15 44 8 23 32 21 3 32 26 44 32 11 44 3 39 22 50 22 49 0 9 1 18 23 49 20 15 44 32 7 38 46 6 16 17 26 50 32 1 40 48 43 7 5 49 36 19 35 1 ]
[ 45 21 27 24 27 39 43 11 14 18 7 38 5 22 49 46 14 50 32 15 9 0 14 49 7 43 47 39 8 6 6 30 41 9 37 37 24 31 27 11 42 19 38 35 23 26 47 42 6 47 ]
[ 16 47 35 34 9 36 21 33 48 14 21 16 45 30 26 31 48 30 44 47 1 14 0 11 10 8 15 38 24 9 9 40 30 45 24 39 48 11 9 34 49 13 33 22 36 9 40 10 46 38 ]
[ 42 16 24 48 45 6 26 43 41 16 14 8 38 14 17 50 23 49 29 35 18 49 11 0 8 13 38 12 8 28 41 48 41 17 48 46 14 8 12 27 40 37 20 47 6 4 44 1 30 50 ]
[ 26 48 45 6 19 17 30 33 35 13 12 34 44 47 42 6 32 45 16 33 23 7 10 8 0 47 16 41 44 44 30 31 43 38 21 33 48 41 11 38 4 2 21 26 23 18 40 12 39 5 ]
[ 19 4 7 34 19 50 24 41 20 13 3 8 48 46 23 23 28 11 11 49 49 43 8 13 47 0 7 38 16 14 10 49 9 18 49 23 11 7 49 46 38 45 29 32 19 25 26 24 49 24 ]
[ 11 17 7 14 6 47 36 12 35 12 34 45 3 10 50 31 24 44 22 24 20 47 15 38 16 7 0 28 8 35 25 37 26 32 40 32 12 6 3 12 39 35 35 49 47 13 48 40 19 11 ]
[ 2 18 3 36 30 1 1 49 50 35 17 28 5 36 25 9 23 15 12 1 15 39 38 12 41 38 28 0 39 18 5 1 17 40 42 17 24 35 1 18 29 38 1 21 18 8 17 33 44 44 ]
[ 3 47 17 30 49 21 47 31 28 13 33 37 39 48 28 44 2 31 32 21 44 8 24 8 44 16 8 39 0 33 25 9 21 25 36 45 44 23 38 11 47 29 5 43 4 40 50 2 49 28 ]
[ 13 22 47 24 14 9 37 42 7 23 41 47 30 22 32 42 10 5 24 15 32 6 9 28 44 14 35 18 33 0 22 11 10 38 14 43 27 22 2 6 35 4 10 39 10 13 38 20 41 30 ]
[ 13 38 2 44 6 11 15 34 37 30 39 23 35 46 37 48 38 9 12 29 7 6 9 41 30 10 25 5 25 22 0 23 50 31 38 14 23 47 29 12 16 33 40 25 6 10 35 30 50 41 ]
[ 29 5 21 27 21 32 22 46 27 36 32 1 6 6 41 18 29 36 23 42 38 30 40 48 31 49 37 1 9 11 23 0 4 42 35 34 33 32 20 33 5 1 8 1 7 14 7 35 21 6 ]
[ 39 40 8 4 25 6 9 28 46 2 35 43 32 24 32 29 44 22 1 43 46 41 30 41 43 9 26 17 21 10 50 4 0 27 13 12 11 44 8 5 14 44 49 14 37 32 6 27 19 24 ]
[ 26 27 30 24 12 34 28 48 40 45 15 19 7 9 15 20 24 14 30 13 6 9 45 17 38 18 32 40 25 38 31 42 27 0 8 4 1 16 43 24 33 50 44 2 12 6 12 5 45 34 ]
[ 27 13 20 48 20 14 26 8 3 8 14 39 31 47 3 8 14 8 45 15 16 37 24 48 21 49 40 42 36 14 38 35 13 8 0 26 32 48 6 3 33 2 1 3 33 48 18 9 50 5 ]
[ 19 30 35 31 16 20 47 46 14 1 34 38 35 16 31 46 34 4 29 9 17 37 39 46 33 23 32 17 45 43 14 34 12 4 26 0 1 17 16 41 11 40 15 41 37 16 14 50 19 48 ]
[ 29 12 46 24 27 19 15 25 34 35 40 21 44 14 16 28 14 22 49 34 26 24 48 14 48 11 12 24 44 27 23 33 11 1 32 1 0 26 9 29 50 9 46 24 4 4 29 47 4 16 ]
[ 19 5 26 33 9 36 6 17 49 14 12 5 12 10 27 32 3 30 11 35 50 31 11 8 41 7 6 35 23 22 47 32 44 16 48 17 26 0 43 28 36 40 21 10 26 4 44 22 21 34 ]
[ 14 39 34 5 28 16 48 35 4 4 45 44 23 9 42 18 42 24 20 14 32 27 9 12 11 49 3 1 38 2 29 20 8 43 6 16 9 43 0 15 35 19 39 29 15 15 48 30 5 16 ]
[ 4 20 5 1 22 49 30 20 28 14 50 28 24 3 25 18 26 2 11 22 1 11 34 27 38 46 12 18 11 6 12 33 5 24 3 41 29 28 15 0 47 10 2 47 42 26 39 46 39 47 ]
[ 6 50 2 1 3 5 44 41 38 15 9 5 49 28 39 18 15 37 20 31 40 42 49 40 4 38 39 29 47 35 16 5 14 33 33 11 50 36 35 47 0 33 3 4 6 49 3 40 38 18 ]
[ 8 29 22 35 9 18 35 40 12 26 1 1 13 3 14 49 14 31 21 44 48 19 13 37 2 45 35 38 29 4 33 1 44 50 2 40 9 40 19 10 33 0 42 22 30 4 42 12 45 41 ]
[ 40 49 50 24 10 34 34 39 26 48 48 8 41 18 9 37 39 35 3 41 43 38 33 20 21 29 35 1 5 10 40 8 49 44 1 15 46 21 39 2 3 42 0 5 20 50 46 46 1 14 ]
[ 33 18 1 50 13 28 38 30 22 17 43 31 42 15 31 43 38 37 4 49 7 35 22 47 26 32 49 21 43 39 25 1 14 2 3 41 24 10 29 47 4 22 5 0 27 50 14 49 25 8 ]
[ 5 5 40 45 21 4 36 3 36 38 24 12 10 12 38 22 39 22 32 15 5 23 36 6 23 19 47 18 4 10 6 7 37 12 33 37 4 26 15 42 6 30 20 27 0 22 34 7 12 17 ]
[ 18 49 21 10 7 1 4 6 22 35 15 37 19 15 40 11 50 2 49 50 49 26 9 4 18 25 13 8 40 13 10 14 32 6 48 16 4 4 15 26 49 4 50 50 22 0 2 45 10 48 ]
[ 34 10 25 14 15 29 27 39 22 26 29 43 31 39 21 24 34 12 8 30 36 47 40 44 40 26 48 17 50 38 35 7 6 12 18 14 29 44 48 39 3 42 46 14 34 2 0 24 44 2 ]
[ 44 9 11 45 32 47 47 8 22 11 22 8 5 8 39 42 11 44 39 3 19 42 10 1 12 24 40 33 2 20 30 35 27 5 9 50 47 22 30 46 40 12 46 49 7 45 24 0 11 19 ]
[ 45 39 7 15 15 49 36 32 26 23 39 13 11 40 13 44 17 21 19 20 35 6 46 30 39 49 19 44 49 41 50 21 19 45 50 19 4 21 5 39 38 45 1 25 12 10 44 11 0 10 ]
[ 25 44 39 7 27 41 42 17 32 47 25 50 24 28 22 37 34 28 19 6 1 47 38 50 5 24 11 44 28 30 41 6 24 34 5 48 16 34 16 47 18 41 14 8 17 48 2 19 10 0 ]
 ];

